date,node,country,transport,version,lower,upper,clients,frac
2017-10-01,bridge,,,,,,42406,66
2017-10-01,bridge,,,v4,,,41472,66
2017-10-01,bridge,,,v6,,,935,66
2017-10-01,bridge,,<OR>,,,,2635,66
2017-10-01,bridge,,fte,,,,10,66
2017-10-01,bridge,,meek,,,,10360,66
2017-10-01,bridge,,obfs2,,,,3,66
2017-10-01,bridge,,obfs3,,,,2526,66
2017-10-01,bridge,,obfs4,,,,26797,66
2017-10-01,bridge,,scramblesuit,,,,72,66
2017-10-01,bridge,,snowflake,,,,3,66
2017-10-01,bridge,,websocket,,,,1,66
2017-10-01,bridge,??,,,,,779,66
2017-10-02,relay,a1,,,0,12,4,84
2017-10-02,relay,a2,,,,,0,84
2017-10-02,relay,ad,,,57,163,122,84
2017-10-02,relay,ae,,,278537,376778,323704,84
2017-10-02,relay,af,,,215,438,293,84
2017-10-02,relay,ag,,,27,100,61,84
2017-10-02,relay,ai,,,0,14,3,84
2017-10-02,relay,al,,,559,980,727,84
2017-10-02,relay,am,,,558,978,731,84
2017-10-02,relay,an,,,,,0,84
2017-10-02,relay,ao,,,165,355,284,84
2017-10-02,relay,ap,,,,,1,84
2017-10-02,relay,aq,,,0,22,4,84
2017-10-02,relay,ar,,,9231,13223,11346,84
2017-10-02,relay,as,,,3,38,18,84
2017-10-02,relay,at,,,9113,13060,11169,84
2017-10-02,relay,au,,,20056,28097,23317,84
2017-10-02,relay,aw,,,35,118,69,84
2017-10-02,relay,ax,,,9,58,37,84
2017-10-02,relay,az,,,794,1335,1146,84
2017-10-02,relay,ba,,,774,1305,988,84
2017-10-02,relay,bb,,,126,287,217,84
2017-10-02,relay,bd,,,2264,3476,2972,84
2017-10-02,relay,be,,,8719,12515,10972,84
2017-10-02,relay,bf,,,56,159,90,84
2017-10-02,relay,bg,,,6279,9128,8564,84
2017-10-02,relay,bh,,,581,1014,735,84
2017-10-02,relay,bi,,,14,70,29,84
2017-10-02,relay,bj,,,180,379,268,84
2017-10-02,relay,bl,,,0,14,6,84
2017-10-02,relay,bm,,,44,136,84,84
2017-10-02,relay,bn,,,178,377,246,84
2017-10-02,relay,bo,,,679,1162,896,84
2017-10-02,relay,bq,,,1,30,7,84
2017-10-02,relay,br,,,28811,40045,33882,84
2017-10-02,relay,bs,,,164,353,239,84
2017-10-02,relay,bt,,,16,76,33,84
2017-10-02,relay,bw,,,127,289,108,84
2017-10-02,relay,by,,,3507,5242,3969,84
2017-10-02,relay,bz,,,87,217,147,84
2017-10-02,relay,ca,,,36332,50279,44079,84
2017-10-02,relay,cd,,,161,347,232,84
2017-10-02,relay,cf,,,0,22,8,84
2017-10-02,relay,cg,,,36,120,65,84
2017-10-02,relay,ch,,,12079,17154,14302,84
2017-10-02,relay,ci,,,351,657,496,84
2017-10-02,relay,ck,,,0,17,4,84
2017-10-02,relay,cl,,,3471,5192,4536,84
2017-10-02,relay,cm,,,444,803,383,84
2017-10-02,relay,cn,,,1156,1873,946,84
2017-10-02,relay,co,,,4250,6289,5319,84
2017-10-02,relay,cr,,,727,1235,963,84
2017-10-02,relay,cs,,,0,27,3,84
2017-10-02,relay,cu,,,223,451,339,84
2017-10-02,relay,cv,,,32,111,68,84
2017-10-02,relay,cw,,,72,190,107,84
2017-10-02,relay,cx,,,0,6,4,84
2017-10-02,relay,cy,,,844,1410,1059,84
2017-10-02,relay,cz,,,7655,11041,9234,84
2017-10-02,relay,de,,,156148,212142,240219,84
2017-10-02,relay,dj,,,36,122,80,84
2017-10-02,relay,dk,,,4198,6216,5283,84
2017-10-02,relay,dm,,,1,31,16,84
2017-10-02,relay,do,,,849,1416,1107,84
2017-10-02,relay,dz,,,2061,3185,2555,84
2017-10-02,relay,ec,,,1516,2399,1842,84
2017-10-02,relay,ee,,,1267,2035,1572,84
2017-10-02,relay,eg,,,1199,1934,1406,84
2017-10-02,relay,er,,,0,10,2,84
2017-10-02,relay,es,,,28289,39334,33438,84
2017-10-02,relay,et,,,484,864,678,84
2017-10-02,relay,eu,,,10,59,32,84
2017-10-02,relay,fi,,,8223,11829,10011,84
2017-10-02,relay,fj,,,27,100,57,84
2017-10-02,relay,fk,,,0,6,0,84
2017-10-02,relay,fm,,,3,37,13,84
2017-10-02,relay,fo,,,26,99,60,84
2017-10-02,relay,fr,,,84896,116049,97723,84
2017-10-02,relay,ga,,,76,197,127,84
2017-10-02,relay,gb,,,58026,79706,72434,84
2017-10-02,relay,gd,,,29,104,54,84
2017-10-02,relay,ge,,,632,1090,839,84
2017-10-02,relay,gf,,,101,244,153,84
2017-10-02,relay,gg,,,33,112,77,84
2017-10-02,relay,gh,,,849,1416,974,84
2017-10-02,relay,gi,,,16,75,38,84
2017-10-02,relay,gl,,,7,53,26,84
2017-10-02,relay,gm,,,18,82,43,84
2017-10-02,relay,gn,,,31,110,49,84
2017-10-02,relay,gp,,,190,397,282,84
2017-10-02,relay,gq,,,31,110,56,84
2017-10-02,relay,gr,,,4339,6415,5286,84
2017-10-02,relay,gt,,,620,1072,680,84
2017-10-02,relay,gu,,,64,176,101,84
2017-10-02,relay,gw,,,0,28,8,84
2017-10-02,relay,gy,,,61,169,105,84
2017-10-02,relay,hk,,,10020,14315,14898,84
2017-10-02,relay,hn,,,291,561,436,84
2017-10-02,relay,hr,,,1810,2823,2174,84
2017-10-02,relay,ht,,,114,266,193,84
2017-10-02,relay,hu,,,3831,5699,4651,84
2017-10-02,relay,id,,,24906,34721,37053,84
2017-10-02,relay,ie,,,7882,11355,9581,84
2017-10-02,relay,il,,,7486,10806,9088,84
2017-10-02,relay,im,,,105,249,160,84
2017-10-02,relay,in,,,23390,32651,26392,84
2017-10-02,relay,iq,,,1074,1752,1296,84
2017-10-02,relay,ir,,,4918,7226,6107,84
2017-10-02,relay,is,,,876,1458,1133,84
2017-10-02,relay,it,,,29181,40547,34096,84
2017-10-02,relay,je,,,52,154,101,84
2017-10-02,relay,jm,,,344,645,480,84
2017-10-02,relay,jo,,,1042,1704,1315,84
2017-10-02,relay,jp,,,26428,36796,32226,84
2017-10-02,relay,ke,,,1144,1853,1445,84
2017-10-02,relay,kg,,,474,848,609,84
2017-10-02,relay,kh,,,264,517,395,84
2017-10-02,relay,ki,,,0,14,8,84
2017-10-02,relay,km,,,1,30,13,84
2017-10-02,relay,kn,,,50,149,83,84
2017-10-02,relay,kp,,,13,68,32,84
2017-10-02,relay,kr,,,6117,8902,7260,84
2017-10-02,relay,kw,,,1158,1875,1508,84
2017-10-02,relay,ky,,,27,100,61,84
2017-10-02,relay,kz,,,1646,2586,2275,84
2017-10-02,relay,la,,,104,248,165,84
2017-10-02,relay,lb,,,690,1179,907,84
2017-10-02,relay,lc,,,30,108,71,84
2017-10-02,relay,li,,,65,177,120,84
2017-10-02,relay,lk,,,638,1099,787,84
